title;data;citation
;A Game of Thrones -  Book 1  ;- Your Highlight at location 14-14 | Added on Tuesday, 6 December 2016 23:03:37
﻿Sztuka wojny (Sun Tzu);- Your Highlight at location 240-241 | Added on Wednesday, 7 December 2016 23:14:46;Częste wydawanie rozkazów uczy posłuszeństwa, rzadkie wydawanie rozkazów też uczy – ale nieposłuszeństwa. Częste wydawanie rozkazów jest korzystne dla obu stron.
Władcy ognia (Bogusław Wołoszański);- Your Highlight at location 292-294 | Added on Sunday, 22 January 2017 23:44:39;przestawiło dyrektorowi sekcji zakładów Lockheeda Clarence L. "Kelly" Johnsonowi wymogi, jakim miał sprostać nowy samolot: zasięg 4830 km, pułap lotu 21 335 m i ładowność 318 kg. Na wykonanie tego zadania zespół konstruktorów z zakładów Lockheeda otrzymał 8 miesięcy.
Boże igrzysko Historia Polski (Norman Davies);- Your Highlight at location 7775-7776 | Added on Saturday, 17 March 2018 12:55:13;nie mogą zapobiec temu, aby wrogowie połknęli ich w całości, to niech przynajmniej robią wszystko, co mogą, aby się nie dać strawić[
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 46-47 | Added on Saturday, 24 March 2018 16:43:29;Rady moich rodziców były skuteczne dla ludzi urodzonych przed 1945 rokiem, ale mogą być katastrofalne dla tych z nas, którzy urodzili się w szybko zmieniającym się świecie.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 265-265 | Added on Sunday, 25 March 2018 03:20:05;Lenistwo pomniejsza jedno i drugie: zdrowie i majątek. 
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 266-267 | Added on Sunday, 25 March 2018 03:21:06;Jeden uważał, że bogaci powinni płacić większe podatki, by zadbać o tych mniej zasobnych. Drugi zwykł mawiać: – Podatki karzą tych, którzy produkują i nagradzają tych, którzy nie produkują. Jeden ojciec zalecał: – Ucz się pilnie, abyś mógł znaleźć dobrą firmę, dla której będziesz pracował. Drugi: – Ucz się pilnie, abyś mógł znaleźć dobrą firmę, którą będziesz mógł kupić. Jeden ojciec mówił: – Powodem, dla którego nie jestem bogaty, jest to, że mam dzieci. Drugi zaś: – Powodem, dla którego muszę być bogaty jest to, że mam dzieci.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 271-272 | Added on Sunday, 25 March 2018 03:23:13;Gdy chodzi o pieniądze, działaj ostrożnie i nie podejmuj ryzyka. Drugi: – Naucz się kontrolować ryzyko.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 283-284 | Added on Sunday, 25 March 2018 03:24:53;Jeden ojciec nauczył mnie, jak pisać robiący wrażenie życiorys, abym mógł znaleźć dobrą pracę. Drugi nauczył mnie, jak pisać dobre plany biznesowe i finansowe, abym mógł tworzyć miejsca pracy.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 290-291 | Added on Sunday, 25 March 2018 03:26:44;Mój biedny ojciec miał zwyczaj mawiać: – Nie interesują mnie pieniądze – lub: – Pieniądze nie mają znaczenia. Bogaty ojciec zawsze mówił: – Pieniądze – to potęga.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 298-299 | Added on Sunday, 25 March 2018 03:28:25;studiował, by stać się bogatym; by zrozumieć, jak pracują pieniądze i nauczyć się, aby one pracowały dla mnie. – Nie pracuję dla pieniędzy!
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 432-432 | Added on Sunday, 25 March 2018 17:37:07;Jeżeli nie możesz się zdecydować, nigdy nie nauczysz się robić pieniędzy.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 514-514 | Added on Sunday, 25 March 2018 19:41:59;Prosili mnie o pracę, o pensję, ale nigdy – aby uczyć ich o pieniądzach.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 538-539 | Added on Sunday, 25 March 2018 19:46:36;"Biedni i średnia klasa pracują za pieniądze. U bogatych pieniądze pracują dla nich."
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 685-686 | Added on Monday, 26 March 2018 23:58:33;Spotkałem wielu ludzi, którzy mówią: "Ach, nie jestem zainteresowany pieniędzmi", ale będą pracowali po osiem godzin dziennie. To jest zaprzeczenie prawdy. Jeśli nie są zainteresowani pieniędzmi, to dlaczego pracują?
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 715-716 | Added on Tuesday, 27 March 2018 00:02:28;Nie jestem zainteresowany tylko tym, by nauczyć was jak wygenerować górę pieniędzy. To nie poradzi sobie ze strachem czy pragnieniem. Jeżeli najpierw nie opanujecie strachu i pragnienia, a staniecie się bogaci – będziecie jedynie wysokopłatnymi niewolnikami.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 756-757 | Added on Tuesday, 27 March 2018 00:07:15;Wielkie cywilizacje upadały, gdy luka pomiędzy mającymi i niemającymi była zbyt wielka.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 806-808 | Added on Tuesday, 27 March 2018 23:37:06;Będziecie widzieli rzeczy, których inni ludzie nigdy nie widzą. Na przykład okazje, które pojawiają się tuż przed ich nosem. Większość ludzi nigdy nie widzi tych okazji, gdyż szukają oni pieniędzy i zabezpieczenia swego życia.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 882-883 | Added on Wednesday, 28 March 2018 23:35:27;Pewnego dnia, z powodu bezsenności i długów, marząc o amerykańskim cudzie stwierdzają, że odpowiedzią na ich problemy finansowe jest znalezienie drogi na szybkie wzbogacenie się.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 894-895 | Added on Wednesday, 28 March 2018 23:36:49;Pierwsza reguła. Musimy znać różnicę pomiędzy aktywami i pasywami oraz kupować aktywa. Jeśli chcemy być bogaci, to jest wszystko, co trzeba wiedzieć. To jest pierwsza i jedyna reguła.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 925-925 | Added on Wednesday, 28 March 2018 23:39:54;"Bogaci nabywają aktywa, a biedni i średnia klasa nabywają pasywa".
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 1004-1006 | Added on Thursday, 29 March 2018 12:25:54;Większa ilość pieniędzy rzadko rozwiązuje czyjeś problemy finansowe. Problemy rozwiązuje inteligencja człowieka. Istnieje powiedzenie, które mój znajomy powtarza w kółko ludziom znajdującym się w długach: "Jeśli znalazłeś się w dziurze – przestań kopać".
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 1010-1012 | Added on Thursday, 29 March 2018 12:27:01;Biedni i średnia klasa zbyt często pozwalają potędze pieniędzy sterować sobą. Codzienne stawanie do cięższej pracy, niepytanie siebie, czy to co robię ma sens –jest codziennym podcinaniem sobie nóg.
Bogaty Ojciec Biedny Ojciec (R Kiyosaki);- Your Highlight at location 1015-1017 | Added on Thursday, 29 March 2018 12:29:36;Często bezmyślnie powtarzają to, co im powiedziano. Powtarzają takie stwierdzenia, jak: "Dywersyfikacja", "Twój dom to twoje aktywa", "Twój dom jest twoją największą inwestycją", "Otrzymasz ulgę podatkową, jeśli się bardziej zadłużysz", "Poszukaj pracy, która jest pewna", "Nie popełniaj błędów", "Nie podejmuj ryzyka".
